sample-id,Sample.ID,Nest,Chamber_Iden,sample.ID.on.tube,input_reads,filtered_reads,Control_Sample1,Samples,Sample_Type,Fig4_Sample,Depth,shannon,pielou_evenness,faith_pd,observed_otus,Chamber.Type.simple
DC-E3,DC E3,DC,E3,DC E3,8908,7977,sample,seeds,seeds,seeds,11,5.795023655,0.817644309,13.58231945,136,seeds
DC-G1,DC G1,DC,G1,DC G1,38825,32899,sample,seeds,seeds,seeds,13,1.16370278,0.450181687,2.956254826,6,seeds
DC-M1,DC M1,DC,M1,DC M1,23597,20949,sample,seeds,seeds,seeds,36,1.283046519,0.328406053,4.281293038,15,seeds
E-I1,Eggplant I1,Eggplant,I1,E I1,20887,18410,sample,seeds,seeds,seeds,12,1.86158678,0.391510163,6.105330566,27,seeds
A-A2,Apple A2,Apple,A2,A A2,9495,8130,nest_soil,soil,soil,soil,5,6.545538974,0.891781027,17.07240547,162,ants
A-B2,Apple B2,Apple,B2,A B2,13992,12032,nest_soil,soil,soil,soil,9,6.7815487,0.915263988,12.23572818,170,seeds
A-C2,Apple C2,Apple,C2,A C2,12576,11093,nest_soil,soil,soil,soil,11.5,7.123879551,0.9124575,19.12994152,224,ants
A-D2,Apple D2,Apple,D2,A D2,9798,8631,nest_soil,soil,soil,soil,7,6.83619199,0.920542455,16.56136546,172,seeds
A-E2,Apple E2,Apple,E2,A E2,12261,10629,nest_soil,soil,soil,soil,27,6.71214446,0.903838562,13.77944064,172,ants
A-F1,Apple F1,Apple,F1,A F1,10891,9234,nest_soil,soil,soil,soil,30,6.893409956,0.927203048,15.02014822,173,empty
A-G2,Apple G2,Apple,G2,A G2,10846,9517,nest_soil,soil,soil,soil,12,6.86193102,0.894362697,21.05014046,204,ants
A-I1,Apple I1,Apple,I1,A I1,16892,14740,nest_soil,soil,soil,soil,22,7.286003494,0.91599493,20.44594739,248,empty
B-C2,Banana C2,Banana,C2,B C2,7358,6482,nest_soil,soil,soil,soil,27,5.933709731,0.865226914,11.86706513,116,ants
B-D3,Banana D3,Banana,D3,B D3,9588,8349,nest_soil,soil,soil,soil,35,6.32646421,0.877523425,14.13930078,148,brood/reproductive
B-E3,Banana E3,Banana,E3,B E3,7686,6716,nest_soil,soil,soil,soil,34,6.35115662,0.884573403,14.52525578,145,ants
B-F2,Banana F2,Banana,F2,B F2,9750,8594,nest_soil,soil,soil,soil,24,5.800843969,0.82736499,13.01546293,129,ants
