id,Nest,Chamber-ID,Chamber_Iden,sample ID on tube,input_reads,filtered_reads,Control_Sample,Samples,Sample_Type,Sample_Type2,Nest_Sample,Nest_Control,Depth_categorical,depth_nest,depth_categorical,depth_continous,sample_depth,chamberid_depth,samples_good,shannon,pielou_evenness,faith_pd,observed_otus,simpson,chao1,,nest
B-L7,Banana,L,L7,B L7,7564,6756,control,control far,control,soil,Banana_control,Banana_control,high,Banana_14,14,0.233333333,control far14,L_14,control,6.740540729,0.901656111,19.84691377,178,0.986279218,178.5454545,,14
BA3,Banana,A,A3,B A3,8961,7861,control,control far,control,soil,Banana_control,Banana_control,low,Banana_60,60,1,control far60,A_60,control,6.580282523,0.899820572,15.46154945,159,0.983912359,160.875,,60
C-A1,Carrot,A,A1,C A1,34215,30962,sample,ants,ants,ants,Carrot_ants,Carrot_sample,low,Carrot_40,40,1,ants40,A_40,ants,1.243390352,0.292705172,4.226874169,19,0.446055455,19,,40
C-A2,Carrot,A,A2,C A2,9485,8395,sample,soil,soil,soil,Carrot_soil,Carrot_sample,low,Carrot_40,40,1,soil40,A_40,soil,6.831334728,0.912814389,17.74634588,179,0.987723993,183.5,,40
C-A3,Carrot,A,A3,C A3,11504,9987,control,control near,control,soil,Carrot_control,Carrot_control,low,Carrot_40,40,1,control near40,A_40,control,6.84540166,0.902496441,16.66927577,192,0.98567188,195,,40
C-A4,Carrot,A,A4,C A4,11025,9675,control,control far,control,soil,Carrot_control,Carrot_control,low,Carrot_40,40,1,control far40,A_40,control,6.392834528,0.855144794,17.20073743,178,0.975007036,180,,40
C-B1,Carrot,B,B1,C B1,47304,42708,sample,ants,ants,ants,Carrot_ants,Carrot_sample,low,Carrot_30,30,0.75,ants30,B_30,ants,0.778052128,0.217032152,3.726454761,12,0.315938122,14,,30
C-B2,Carrot,B,B2,C B2,8616,7696,sample,soil,soil,soil,Carrot_soil,Carrot_sample,low,Carrot_30,30,0.75,soil30,B_30,soil,6.780679293,0.918330289,16.05994013,167,0.988167693,168.0714286,,30
C-B3,Carrot,B,B3,C B3,9424,7972,control,control near,control,soil,Carrot_control,Carrot_control,low,Carrot_30,30,0.75,control near30,B_30,control,6.791419105,0.916596136,16.85860912,170,0.987852336,170.4,,30
C-B4,Carrot,B,B4,C B4,11116,9935,control,control far,control,soil,Carrot_control,Carrot_control,low,Carrot_30,30,0.75,control far30,B_30,control,6.995004845,0.90201242,20.3167599,216,0.987548438,222,,30
C-C1,Carrot,C,C1,C C1,25374,22598,sample,seeds,seeds,seeds,Carrot_seeds,Carrot_sample,low,Carrot_38,38,0.95,seeds38,C_38,seeds,3.717448166,0.530213618,13.19373268,129,0.839448113,145.9166667,,38
C-C2,Carrot,C,C2,C C2,45538,41042,sample,ants,ants,ants,Carrot_ants,Carrot_sample,low,Carrot_38,38,0.95,ants38,C_38,ants,0.988628265,0.297606762,3.487802728,10,0.412704917,10,,38
C-C3,Carrot,C,C3,C C3,8265,7262,sample,soil,soil,soil,Carrot_soil,Carrot_sample,low,Carrot_38,38,0.95,soil38,C_38,soil,6.82953733,0.915557335,18.45995343,176,0.98761429,176.0909091,,38
C-C4,Carrot,C,C4,C C4,10343,8900,control,control near,control,soil,Carrot_control,Carrot_control,low,Carrot_38,38,0.95,control near38,C_38,control,6.550293174,0.900244802,14.72197601,155,0.984048952,155.6666667,,38
C-C5,Carrot,C,C5,C C5,10248,8877,control,control far,control,soil,Carrot_control,Carrot_control,low,Carrot_38,38,0.95,control far38,C_38,control,6.749893119,0.898105734,16.8537796,183,0.985920468,185.1538462,,38
C-D1,Carrot,D,D1,C D1,15195,13367,sample,beetle/seeds/food,seeds,seeds,Carrot_seeds,Carrot_sample,medium,Carrot_22,22,0.55,beetle/seeds/food22,D_22,seeds,5.675173321,0.791524782,14.35351967,144,0.956853531,149.5,,22
C-D2,Carrot,D,D2,C D2,46660,42403,sample,ants,ants,ants,Carrot_ants,Carrot_sample,medium,Carrot_22,22,0.55,ants22,D_22,ants,1.030106297,0.343368766,3.375091786,8,0.478776347,9.5,,22
C-D3,Carrot,D,D3,C D3,13295,11788,sample,soil,soil,soil,Carrot_soil,Carrot_sample,medium,Carrot_22,22,0.55,soil22,D_22,soil,7.221276124,0.91328899,20.56981827,240,0.990771069,248.1428571,,22
C-D4,Carrot,D,D4,C D4,12895,11258,control,control near,control,soil,Carrot_control,Carrot_control,medium,Carrot_22,22,0.55,control near22,D_22,control,6.745722399,0.866907925,20.05631917,220,0.980370551,227.7727273,,22
C-D5,Carrot,D,D5,C D5,14949,13184,control,control far,control,soil,Carrot_control,Carrot_control,medium,Carrot_22,22,0.55,control far22,D_22,control,7.429353225,0.918024982,20.62226548,273,0.991923101,280.2413793,,22
C-E1,Carrot,E,E1,C E1,12499,10634,sample,soil,soil,soil,Carrot_soil,Carrot_sample,low,Carrot_34,34,0.85,soil34,E_34,soil,6.687509159,0.906776055,14.32998675,166,0.986363863,167.1538462,,34
C-E2,Carrot,E,E2,C E2,40899,36850,sample,ants,ants,ants,Carrot_ants,Carrot_sample,low,Carrot_34,34,0.85,ants34,E_34,ants,1.701659606,0.408079187,4.136688494,18,0.582491999,18.25,,34
